web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639406203-2420;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sun-care/9374-erha-21-helios-water-resistance-use-spf-50-pa;Erha;Helios Water Resistance Use Spf 50/PA++;Helios Water Resistance Use Spf 50/PA++;Rp 169.400Rp 149.072;04.02;-30;26;Yes (19);No (6);Maybe (5)
1639406032-2388;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/27607-uv-defense-me-blue-ray-sun-fluid-spf-50-pa;Make P:rem;UV defense me. Blue sun fluid SPF 50+ PA++++;UV defense me. Blue sun fluid SPF 50+ PA++++;Rp 390.000Rp 331.500;04.07;-93;71;Yes (71);No (6);Maybe (16)
1639406505-2463;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/skincare/55330-sun-battle-spf-45-pa;Emina;Sun Battle SPF 45 PA+++;Sun Battle SPF 45 PA+++;Rp49.500;04.05;-290;226;Yes (181);No (38);Maybe (71)
1639406553-2469;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/58628-perfect-shield-sunscreen-normal-to-dry-skin;Erha;Perfect Shield Sunscreen Normal to Dry Skin;Perfect Shield Sunscreen Normal to Dry Skin;Rp 87.500Rp 77.000;04.06;-10;5;Yes (7);No (1);Maybe (2)
1639406276-2436;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/9998-facial-sun-shield-spf-50;Votre Peau;Facial Sun Shield SPF 50;Facial Sun Shield SPF 50;Rp 265.000Rp 198.750;04.03;-111;90;Yes (71);No (17);Maybe (23)
1639406634-2486;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/17082-sunscreen-spray-coral-friendly-x-nathanie-christy;Jarte Beauty;Sunscreen Spray Coral Friendly x Nathanie Christy;Sunscreen Spray Coral Friendly x Nathanie Christy;Rp 55.000 - Rp 175.000;04.04;-178;156;Yes (93);No (23);Maybe (62)
1639406337-2446;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/57707-uv-sunscreen-spf-50-krim-pelindung-wajah;Breylee;UV Sunscreen SPF 50+ - Krim Pelindung Wajah;UV Sunscreen SPF 50+ - Krim Pelindung Wajah;Rp 120.000Rp 63.600;04.02;-23;16;Yes (10);No (6);Maybe (7)
1639406087-2394;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/35022-reine-blanche-uv-shield-spf50-30ml;L'Occitane;Reine Blanche UV Shield SPF50 30ml;Reine Blanche UV Shield SPF50 30ml;Rp705.000;05.00;-1;1;Yes (1);No (0);Maybe (0)
1639405952-2380;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/12729-white-expert-cc-cream-spf24pa;Safi;White Expert CC Cream SPF24PA++;White Expert CC Cream SPF24PA++;Rp 88.000Rp 68.640;04.03;-104;92;Yes (58);No (23);Maybe (23)
1639405890-2370;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/16644-rosehip-multishield-moisturizer-spf15;TRILOGY;Rosehip Multishield Moisturizer SPF15;Rosehip Multishield Moisturizer SPF15;Rp650.000;04.02;-3;3;Yes (2);No (0);Maybe (1)
1639406748-2496;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/28372-perfect-uv-sunscreen-skincare-milk-s;ANESSA;Perfect UV Sunscreen Skincare Milk (S);Perfect UV Sunscreen Skincare Milk (S);Rp 199.000Rp 151.240;04.06;-543;493;Yes (347);No (36);Maybe (160)
1639406631-2485;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/58562-perfect-uv-sunscreen-mild-milk-n;ANESSA;Perfect UV Sunscreen Mild Milk;Perfect UV Sunscreen Mild Milk;Rp 489.000Rp 391.200;04.05;-29;22;Yes (23);No (4);Maybe (2)
1639406687-2491;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/56375-biore-uv-face-sunscreen-aqua-rich-light-up-essence-spf-50-pa;Biore;Biore UV Face Sunscreen Aqua Rich Light Up Essence SPF 50+ PA++++;Biore UV Face Sunscreen Aqua Rich Light Up Essence SPF 50+ PA++++;Rp 150.000Rp 120.000;04.03;-71;48;Yes (37);No (18);Maybe (16)
1639406420-2455;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/58015-multipurpose-tinted-sunscreen-spf50-pa-5gr;BLP Beauty;Multipurpose Tinted Sunscreen SPF50/PA++++ 5gr;Multipurpose Tinted Sunscreen SPF50/PA++++ 5gr;Rp59.000;04.04;-113;90;Yes (64);No (16);Maybe (33)
1639406113-2401;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/54293-snowise-brightening-uv-protector-spf50;Sulwhasoo;Snowise Brightening UV Protector SPF50 +;Snowise Brightening UV Protector SPF50 +;Rp 1.050.000Rp 787.500;null;null;null;null;null;null
1639406587-2475;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/27606-uv-defense-me-blue-ray-sun-gel-spf-50-pa;Make P:rem;UV defense me. Blue sun gel SPF 50+ PA++++;UV defense me. Blue sun gel SPF 50+ PA++++;Rp 259.000Rp 220.150;04.06;-35;26;Yes (20);No (5);Maybe (10)
1639406285-2437;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/47793-pure-block-water-proof-sun-cream-spf50-pa;A'pieu;Pure Block Water Proof Sun Cream Spf50+Pa+++;Pure Block Water Proof Sun Cream Spf50+Pa+++;Rp 159.000Rp 135.150;04.04;-5;4;Yes (2);No (0);Maybe (3)
1639405903-2373;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/24698-daily-uv-counter-spf-50-pa;Lacoco;Daily UV Counter SPF 50 PA ++++;Daily UV Counter SPF 50 PA ++++;;04.04;-111;99;Yes (66);No (9);Maybe (36)
1639406168-2412;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/57710-honey-sun-protection-spf-50-pa;I trust nature;Honey Sun Protection SPF 50+ PA+++;Honey Sun Protection SPF 50+ PA+++;Rp169.000;04.06;-152;129;Yes (108);No (7);Maybe (37)
1639406301-2441;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/56364-l-oreal-paris-uv-defender-uv-serum-protector-bright-and-clear-spf50-pa;Loreal Paris;L'Oreal Paris UV Defender UV Serum Protector Bright & Clear SPF50+ / PA++++;L'Oreal Paris UV Defender UV Serum Protector Bright & Clear SPF50+ / PA++++;Rp 150.000Rp 120.000;04.08;(2k);1969;Yes (1,7k);No (72);Maybe (266)
1639406624-2483;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/50476-don-t-forget-sunscreen;Rose All Day;Don't Forget Sunscreen;Don't Forget Sunscreen;Rp 190.000Rp 133.000;04.05;-134;114;Yes (93);No (15);Maybe (26)
1639406615-2481;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/59683-dear-me-beauty-x-kfc-primer-sunstick-spf-50-pa;Dear Me Beauty;Dear Me Beauty X KFC Primer Sunstick SPF 50+ PA++++;Dear Me Beauty X KFC Primer Sunstick SPF 50+ PA++++;Rp139.000;04.06;-36;24;Yes (24);No (3);Maybe (9)
1639406160-2410;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/7845-photoderm-kid;Bioderma;Photoderm Kid;Photoderm Kid;Rp 363.000Rp 290.400;04.05;-3;3;Yes (1);No (0);Maybe (2)
1639405912-2374;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/25602-gsc-the-perfect-protector-for-asia-japan;Shiseido;GSC The Perfect Protector for Asia/Japan;GSC The Perfect Protector for Asia/Japan;Rp655.000;04.03;-3;2;Yes (3);No (0);Maybe (0)
1639405963-2383;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/after-sun-care/11892-jeju-fresh-aloe-soothing-gel-99-jumbo-500-ml;the saem;Jeju Fresh Aloe Soothing Gel 99% Jumbo 500 ml;Jeju Fresh Aloe Soothing Gel 99% Jumbo 500 ml;Rp 159.000Rp 109.710;null;null;null;Yes (106);No (8);Maybe (17)
1639405959-2382;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/15255-cicapair-recover-spf-40-pa;Dr Jart;Cicapair Recover SPF 40/ PA++;Cicapair Recover SPF 40/ PA++;Rp 585.000Rp 526.500;04.03;-34;31;Yes (21);No (3);Maybe (10)
1639406597-2477;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/53978-daily-sun-cream;Vaseline;Daily Sun Cream;Daily Sun Cream;Rp 129.000Rp 104.490;04.06;-70;48;Yes (47);No (5);Maybe (18)
1639405862-2367;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/24952-sunbuddy-daily-moisture-sun-cream-spf50-pa;Leaders;Sunbuddy Daily Moisture Sun Cream Spf50+ Pa+++;Sunbuddy Daily Moisture Sun Cream Spf50+ Pa+++;;null;null;null;null;null;null
1639405918-2375;https://www.sociolla.com/2301-sun-care?page=9;;https://www.sociolla.com/sunscreen/23578-banila-co-hello-sunny-hydrating-sun-essence-spf50-pa;banila co.;Banila Co Hello Sunny Hydrating Sun Essence SPF50+ PA++++;Banila Co Hello Sunny Hydrating Sun Essence SPF50+ PA++++;Rp370.000;04.06;-2;2;Yes (2);No (0);Maybe (0)
1639406454-2457;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/28374-perfect-uv-sunscreen-skincare-spray;ANESSA;Perfect UV Sunscreen Skincare Spray;Perfect UV Sunscreen Skincare Spray;Rp 299.000Rp 233.220;04.06;-11;10;Yes (8);No (0);Maybe (3)
1639406083-2393;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/58195-elvicto-sunscreen-expert;Elvicto;Elvicto Sunscreen Expert;Elvicto Sunscreen Expert;Rp150.000;null;null;null;null;null;null
1639406193-2417;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/10487-protection-day-cream;Elsheskin;Protection Day Cream;Protection Day Cream;Rp 93.000Rp 91.140;04.01;-24;20;Yes (12);No (6);Maybe (6)
1639406424-2456;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/skincare/53940-multi-purpose-aloe-vera-gel;YOU Makeups;Multi-Purpose Aloe Vera Gel;Multi-Purpose Aloe Vera Gel;Rp 35.000Rp 29.750;04.04;-26;20;Yes (15);No (4);Maybe (7)
1639406757-2498;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/3587-sun-protection-spf-30;Emina;Sun Battle SPF 30 PA+++;Sun Battle SPF 30 PA+++;Rp 29.000Rp 21.750;04.03;(12,6k);10541;null;null;null
1639406260-2433;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/9370-perfect-shield-for-normal-to-oily-skin-spf-30-pa;Erha;ERHA Perfect Shield Sunscreen Oily Skin SPF 30/PA++;ERHA Perfect Shield Sunscreen Oily Skin SPF 30/PA++;Rp 87.500Rp 77.000;04.04;-104;91;Yes (60);No (12);Maybe (32)
1639406291-2439;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/7846-photoderm-max-spf-100;Bioderma;Photoderm Max SPF-100;Photoderm Max SPF-100;Rp 319.000Rp 255.200;04.01;-164;133;Yes (69);No (40);Maybe (55)
1639406661-2489;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/34967-perfect-uv-sunscreen-skincare-milk;ANESSA;Perfect UV Sunscreen Skincare Milk;Perfect UV Sunscreen Skincare Milk;Rp 489.000Rp 371.640;04.07;-105;88;Yes (91);No (4);Maybe (10)
1639406329-2444;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/50440-garnier-light-complete-super-uv-spot-proof-sunscreen;Garnier;Garnier Light Complete Super UV Spot Proof Sunscreen;Garnier Light Complete Super UV Spot Proof Sunscreen;Rp 65.000 - Rp 79.000Rp 53.300 - Rp 64.780;04.07;(1,9k);1765;Yes (1,4k);No (95);Maybe (379)
1639405987-2386;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/60468-antioxidant-suncream;Skin Theory;Antioxidant Suncream;Antioxidant Suncream;Rp139.000;04.06;-5;4;Yes (3);No (0);Maybe (2)
1639406094-2396;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/49690-all-day-sun-cream-spf50-pa;BY ECOM;All Day Sun Cream SPF50+ PA++++;All Day Sun Cream SPF50+ PA++++;Rp 450.000Rp 270.000;04.03;-9;8;Yes (5);No (2);Maybe (2)
1639406733-2495;https://www.sociolla.com/2301-sun-care?page=1;;https://www.sociolla.com/sunscreen/12704-sun-face-protection-serum-spf-50-pa-instant-aura;Nivea;Sun Face Protection Serum Spf 50+ Pa +++ - Instant Aura;Sun Face Protection Serum Spf 50+ Pa +++ - Instant Aura;Rp 51.000Rp 43.860;04.06;(2,3k);2001;Yes (1,7k);No (144);Maybe (440)
1639406101-2398;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/25603-gsc-perfect-uv-protector-s;Shiseido;GSC Perfect UV Protector S;GSC Perfect UV Protector S;Rp570.000;04.01;-3;2;Yes (2);No (1);Maybe (0)
1639406417-2454;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/53825-aqua-essence-sun-shield-serum-spf-50-pa;Azarine;Aqua Essence Sun Shield Serum Spf 50 Pa+++;Aqua Essence Sun Shield Serum Spf 50 Pa+++;Rp98.000;04.06;-95;81;Yes (67);No (8);Maybe (20)
1639406579-2474;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/35194-uv-aqua-rich-watery-gel-sunscreen-skin-care-spf-50-pa;Biore;UV Aqua Rich Watery Gel Sunscreen Skin Care SPF 50 PA++++;UV Aqua Rich Watery Gel Sunscreen Skin Care SPF 50 PA++++;Rp 144.000Rp 115.200;04.05;-397;332;Yes (260);No (45);Maybe (92)
1639406549-2468;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/52025-the-great-shield-sunscreen;Avoskin;The Great Shield Sunscreen;The Great Shield Sunscreen;Rp 60.500 - Rp 152.900Rp 51.425 - Rp 129.965;04.03;-519;419;Yes (277);No (77);Maybe (165)
1639406196-2418;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/58315-mineral-sun-stick;Benton;Mineral Sun Stick;Mineral Sun Stick;Rp 370.000Rp 222.000;04.08;-4;4;Yes (3);No (0);Maybe (1)
1639406068-2390;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sun-care/16731-mild-sunscreen;Like Im Five;Mild Sunscreen;Mild Sunscreen;Rp 249.000Rp 174.300;04.07;-81;69;Yes (59);No (6);Maybe (16)
1639406175-2414;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/after-sun-care/11893-jeju-fresh-aloe-soothing-gel-99-tube-300-ml;the saem;Jeju Fresh Aloe Soothing Gel 99% Tube 300 ml;Jeju Fresh Aloe Soothing Gel 99% Tube 300 ml;Rp 119.000Rp 82.110;04.06;-230;215;Yes (164);No (17);Maybe (49)
1639406233-2426;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/47796-pure-block-daily-sun-cream-spf-45-pa;A'pieu;Pure Block Daily Sun Cream Spf 45, Pa+++;Pure Block Daily Sun Cream Spf 45, Pa+++;Rp 159.000Rp 135.150;04.09;-3;2;Yes (3);No (0);Maybe (0)
1639406334-2445;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/58014-multipurpose-tinted-sunscreen-spf50-pa-30gr;BLP Beauty;Multipurpose Tinted Sunscreen SPF50/PA++++ 30gr;Multipurpose Tinted Sunscreen SPF50/PA++++ 30gr;Rp189.000;04.05;-114;94;Yes (69);No (8);Maybe (37)
1639406593-2476;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/8862-sakura-serum-day-cream-spf-21;Garnier;Sakura Serum Day Cream;Sakura Serum Day Cream;Rp 29.000 - Rp 70.000Rp 26.100 - Rp 57.400;04.04;(3,9k);3527;Yes (2,3k);No (570);Maybe (998)
1639406164-2411;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/61895-uv-perfect-air-cool-sun-cream;SNP;UV Perfect Air Cool Sun Cream;UV Perfect Air Cool Sun Cream;Rp180.000;null;null;null;null;null;null
1639406253-2431;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/45122-ultra-sheer-dry-touch-sunscreen-spf-50;Neutrogena;Ultra Sheer Dry -Touch Sunscreen SPF 50+;Ultra Sheer Dry -Touch Sunscreen SPF 50+;Rp 190.000Rp 161.500;04.02;-98;74;Yes (45);No (22);Maybe (31)
1639406109-2400;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/9492-daily-protection-gel-for-acne-skin;Elsheskin;Daily Protection Gel For Acne Skin;Daily Protection Gel For Acne Skin;Rp 87.000Rp 85.260;04.02;-101;83;Yes (54);No (22);Maybe (25)
1639406556-2470;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/28373-perfect-uv-sunscreen-skincare-gel;ANESSA;Perfect UV Sunscreen Skincare Gel;Perfect UV Sunscreen Skincare Gel;Rp 399.000Rp 311.220;04.06;-57;45;Yes (46);No (4);Maybe (7)
1639406263-2434;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/10471-anti-aging-daily-protection;Elsheskin;Anti Aging Daily Protection;Anti Aging Daily Protection;Rp 92.000Rp 90.160;04.02;-35;23;Yes (14);No (8);Maybe (13)
1639406465-2459;https://www.sociolla.com/2301-sun-care?page=3;;https://www.sociolla.com/sunscreen/56363-l-oreal-paris-uv-defender-uv-serum-protector-moist-and-fresh-spf50-pa;Loreal Paris;L'Oreal Paris UV Defender UV Serum Protector Moist & Fresh SPF50+ / PA++++;L'Oreal Paris UV Defender UV Serum Protector Moist & Fresh SPF50+ / PA++++;Rp 150.000Rp 120.000;04.07;-149;135;Yes (129);No (4);Maybe (16)
1639406627-2484;https://www.sociolla.com/2301-sun-care?page=2;;https://www.sociolla.com/sunscreen/59157-dew-it-in-the-morning-face-sun-stick;Dew It;Dew It In The Morning Face Sun Stick;Dew It In The Morning Face Sun Stick;Rp195.000;04.04;-10;6;Yes (5);No (3);Maybe (2)
1639406391-2451;https://www.sociolla.com/2301-sun-care?page=4;;https://www.sociolla.com/sunscreen/60109-glowssentials-sunshield-daily-moisturizer;Pixy;Glowssentials Sunshield Daily Moisturizer;Glowssentials Sunshield Daily Moisturizer;Rp33.000;04.06;-4;2;Yes (3);No (0);Maybe (1)
1639406150-2408;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/27316-age-miracle-ultimate-youthful-glow-day-cream-spf-18-pa;Pond's;Age Miracle Ultimate Youthful Glow Day Cream SPF 18 PA++;Age Miracle Ultimate Youthful Glow Day Cream SPF 18 PA++;Rp 33.600Rp 26.880;04.05;-50;44;Yes (34);No (6);Maybe (10)
1639406072-2391;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/15730-marrakech-spf;Cre;Marrakech SPF;Marrakech SPF;Rp160.000;04.00;-2;1;Yes (1);No (1);Maybe (0)
1639406127-2402;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/10475-day-rejuvenation;Elsheskin;Day Rejuvenation;Day Rejuvenation;Rp 87.000Rp 80.910;04.03;-18;16;Yes (10);No (1);Maybe (7)
1639406091-2395;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sun-care/25601-sfs-lx-universal-defense-e;Shiseido;Future Solution LX Universal Defense E;Future Solution LX Universal Defense E;Rp 1.200.000Rp 840.000;null;null;null;null;null;null
1639406272-2435;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/56475-tone-up-uv-elixir-spf-50-pa;YOU Makeups;Tone Up UV Elixir SPF 50+ PA++++;Tone Up UV Elixir SPF 50+ PA++++;Rp 80.000Rp 68.000;04.05;-222;193;Yes (114);No (25);Maybe (83)
1639406178-2415;https://www.sociolla.com/2301-sun-care?page=6;;https://www.sociolla.com/sunscreen/7844-photoderm-akn-mat-spf-30;Bioderma;Photoderm AKN Mat SPF-30;Photoderm AKN Mat SPF-30;Rp 319.000Rp 255.200;04.04;-92;86;Yes (57);No (9);Maybe (26)
1639405940-2377;https://www.sociolla.com/2301-sun-care?page=8;;https://www.sociolla.com/sunscreen/17108-cellus-sun-gel;Lagom;Cellus Sun Gel;Cellus Sun Gel;Rp 330.000Rp 198.000;04.06;-42;40;Yes (27);No (3);Maybe (12)
1639406144-2407;https://www.sociolla.com/2301-sun-care?page=7;;https://www.sociolla.com/sunscreen/60423-rayou-x-rahasia-gadis-dailyscreen-spf-30;Rayou;Rayou x Rahasia Gadis Dailyscreen SPF 30;Rayou x Rahasia Gadis Dailyscreen SPF 30;Rp115.000;04.09;-5;3;Yes (4);No (0);Maybe (1)
1639406294-2440;https://www.sociolla.com/2301-sun-care?page=5;;https://www.sociolla.com/sunscreen/7361-uv-mild-milk-;Skin Aqua;UV Mild Milk;UV Mild Milk;Rp52.470;04.06;-339;297;Yes (235);No (40);Maybe (64)
